sample_order,dataset_id,series_id,series_type,source_order,selection_rank_within_type,selection_digest,length,missing_count,nonfinite_count,zero_count,negative_count,iqr,standard_deviation,mean_squared_first_difference
148,weather_daily,T886,mintemp,886,119,2ac2360e6e52e445df90318734cc6b7f07370a3a40b449f9215ec07e38e11e3b,7542,0,0,14,52,5.9,4.4414402442213925,11.654937549661325
149,weather_daily,T891,mintemp,891,100,22840a4f4eb7eb65922442ca50b0a1b913ea76f2a8de66bf08e9fbffadb0778d,10464,0,0,56,698,7.9,5.552903941429094,14.292146155941746
150,weather_daily,T894,mintemp,894,1,0042f8bbe82fc660914066205634eac7bdf1cff3e1631627bfcc2592241e92c7,18134,0,0,11,46,5.800000000000001,4.293840965713916,10.63188459464638
151,weather_daily,T900,mintemp,900,90,1e1f5357a4899be3cb2ffe3c4ac481272c6acd148f3de19dd290f6fd26ef38ec,40049,0,0,113,511,6.3999999999999995,5.050613389648696,13.35282132106618
152,weather_daily,T906,mintemp,906,97,212d9577b4f8ba7c93ec034f7a4f6bbda480aadc58001ef356e395c01cbb7f2e,8272,0,0,23,24,7.899999999999999,5.1097240647684075,8.806078158125825
153,weather_daily,T913,mintemp,913,95,20f93e5675c8499fdaa1952d4cc92b94f736daf70acc0f0529d7a1a0dd9dbf95,8638,0,0,67,252,8.0,5.805732032275061,14.5383884930618
154,weather_daily,T922,mintemp,922,14,043e59ca94e41be82e664b6607b2f1bc43655b1bdf87f7efeaddd1fae9c76c68,21056,0,0,15,91,10.599999999999998,6.546848656589615,9.631580438688612
155,weather_daily,T925,mintemp,925,11,03ec57bfbaf640531a6cfc5a0d67aa9b8f27c9837e7194de5f2ddc1f1e97638f,10829,0,0,43,158,5.5,4.310389324374466,14.88136949199249
156,weather_daily,T931,mintemp,931,28,08d41c46d2c66c54f277cd45f710159418032b45405b3a59c3fd437caec01e47,19595,0,0,219,2717,11.0,6.847503888384043,13.702728365368428
157,weather_daily,T945,mintemp,945,15,050d66782cb72753ec390dc7530e26b0a0f6593de06b8bac6f83bdc6f4eeb8ef,5716,0,0,13,313,8.0,5.871792646788427,16.49507808268431
158,weather_daily,T977,mintemp,977,115,29a93154648c6d76c901cc6b3a5973efe4199936107ec649e2a5213cb607fefd,6081,0,0,9,120,6.6,5.0788405344719125,14.281176712161509
159,weather_daily,T981,mintemp,981,76,19d7f995bb500a8b72d1c3c3a353b4b5d607e309d72cb989565fb01e17659e37,2428,0,0,0,0,4.600000000000001,3.413262251110545,4.614071542021325
160,weather_daily,T982,mintemp,982,13,0403fcc895240066e7d3bc3fcfd1846f2afdd03fb2fe9ce2bf5dae301a22ca2c,21421,0,0,64,589,1.6000000000000003,3.465278414880906,9.096751791954851
161,weather_daily,T986,mintemp,986,54,12eec03b7ba9db37d4271cf74193a2ca27aae100e15a45eaf98c63e410f55279,10990,0,0,56,265,5.799999999999999,4.08443748761266,9.925175907745077
162,weather_daily,T988,mintemp,988,23,066c0e8d478405698c04c1bcb6fe3319f73b8cb0192df2e4b7fef4c4e92cce10,8638,0,0,18,246,6.0,4.360971572589871,16.897490339178436
163,weather_daily,T992,mintemp,992,37,0b8f62bd2a2388bd2fcfce682d4ade6e229e10df80e73a87330be0ee31186004,3524,0,0,0,0,3.5999999999999996,2.882670079760046,4.488318439125608
164,weather_daily,T997,mintemp,997,73,19981250b3991322846aa707e01f6d36eeac44033ade08d05be5dcf2be54520d,17769,0,0,2,1,3.899999999999999,3.050621032486195,5.731585086615744
165,weather_daily,T1000,mintemp,1000,85,1d61ee097b1cb05e0ef8bdae48a81984d798c822de44f36d4815188cedc59ed7,19959,0,0,49,97,7.0,5.289529934644209,11.417113969116205
166,weather_daily,T1001,mintemp,1001,122,2bbe65880647d9955bc1033bb8892dbb8da27041bbf7a09bd35a1c2c758d7e19,9003,0,0,8,33,3.8000000000000007,3.239899431795787,6.913861484452741
167,weather_daily,T1005,mintemp,1005,58,149788081e37508829369444ed1538ba0d6dcaa4a2314164b0f49d50d6b6745d,8272,0,0,5,17,5.1,3.749059180825393,8.646097698869982
168,weather_daily,T1025,mintemp,1025,79,1af4e5cfcb05cad9d8ece91173b64147648442076b20def80182636b41460c18,13021,0,0,34,519,7.3,5.332888085226195,15.44660488919432
169,weather_daily,T1047,mintemp,1047,69,189014b9f39a057133bb8b63c7dd5d0ccead0cea88dfe6d77e27e695e06da2fe,7177,0,0,64,279,6.0,4.351134387760537,14.907290071428978
170,weather_daily,T1058,mintemp,1058,105,23f60b1c0df27a6e9d6100189cdcbda14d4f4b057ad393f7ba6946df9327dd09,21421,0,0,294,5790,2.3,3.3248896962100147,6.538383464660954
171,weather_daily,T1064,mintemp,1064,65,170b5f021b1bd2a6e667d7ef71b4b8fc38c34bb10887d09be7dfa7509ed4e67b,17164,0,0,95,236,2.4000000000000004,2.832203028207542,4.714055960183924
172,weather_daily,T1068,mintemp,1068,70,18c75c48d61e0b3ac22cedc2e92a1d3271e9274527d5c454a62b9a182c1b055e,5716,0,0,23,304,4.4,3.4628335833232886,9.25187159867813
173,weather_daily,T1080,mintemp,1080,108,26ff28e1405ea3f7a4fbb13581456ebf233c8327ed7964063e0f27ef9d94d561,10099,0,0,0,0,6.099999999999998,4.049840674031672,4.0507997242669305
174,weather_daily,T1082,mintemp,1082,26,084f23bcaab60e676808be7832e75b23d394726190504c4d8c366d1041ee019c,19960,0,0,21,69,8.799999999999999,5.566782441946047,8.576989689229993
175,weather_daily,T1092,mintemp,1092,107,251476d43b40d4adbde153bac17ceacf7069e3400c3cbe92875abf78428fc3b7,8272,0,0,0,1,10.925,6.810603363960852,8.843867196088881
176,weather_daily,T1104,mintemp,1104,114,2990a7df4cdf107a741a19d9dac6e001b9250e440166e9554b1e806013c96f18,6811,0,0,10,33,6.1000000000000005,4.273825274916152,13.201045303079091
177,weather_daily,T1109,mintemp,1109,17,057496d6703ce087836001a9e30d2c5c60cf58ced2c426ace87ebf8048495217,17404,0,0,10,40,6.800000000000001,5.132728545240326,13.2835838415134
178,weather_daily,T1115,mintemp,1115,121,2bb4ba929ae3733042b4e28dbba69878953fc1f031964ce6c455e007b67e635a,5716,0,0,0,0,7.299999999999999,4.5739765107271735,4.309545494113369
179,weather_daily,T1117,mintemp,1117,10,03d2c59c073269f429e25805ae4c1d64e4654c59376dc4b1e424cec47d5635ea,9368,0,0,22,265,6.699999999999999,5.301607907554106,13.66214342220573
180,weather_daily,T1140,mintemp,1140,101,230ac2cfcb56485cfb2999abe4515c247cffb6de8cdb4d31c12131ee41003073,19960,0,0,36,135,7.4,5.4905227091852336,11.998721441948044
181,weather_daily,T1158,mintemp,1158,5,0302857746f4893fc90ddaac7974aa719bfd01f8ba58c75cbf878dc61887ed29,21056,0,0,33,255,6.5,5.323010746068142,7.33794018888096
182,weather_daily,T1166,mintemp,1166,93,1ed8180da081162ff6017d8ec467ef8b3e93e7c4b7eb2e512fe3039d2d2e0715,10099,0,0,19,153,9.500000000000002,6.14088305863511,9.065905115740826
183,weather_daily,T1170,mintemp,1170,33,0a830dda860215544ec74ee95f6ef264a17d4005a56444a0bb41682bed964447,22882,0,0,0,0,4.600000000000001,3.306238060341263,2.956420758791763
184,weather_daily,T1173,mintemp,1173,81,1b9a4a074c501cddd706795117c0f71e5d386dbe791519983a1772b36af0829e,19960,0,0,35,120,7.4,5.553633284528807,13.67194552839717
185,weather_daily,T1181,mintemp,1181,22,066a474b62c9a33ab4fc4b5eaeb5f8f8fce2940a00bc628a029c153598a975c9,9733,0,0,0,0,6.800000000000001,4.594554563291521,4.789610234625698
186,weather_daily,T1195,mintemp,1195,106,247130bbad2640ff894280c9fdf6e973878747c56711c868c45c7f47d0012852,9733,0,0,0,1,6.599999999999998,4.846053984287711,6.073273990948429
187,weather_daily,T1197,mintemp,1197,56,13e395d35b7bfe774a4c9935acfc3ab567e3d8a983d59b3c189314da4a2b28db,19595,0,0,5,45,10.6,6.698201507544704,9.004510578360197
188,weather_daily,T1201,mintemp,1201,99,2239e2d9f9e433f457c6d10929302890131b7f6ecdc31e5ea39554099cd7f2e3,5350,0,0,0,2,8.475000000000003,5.66394873755526,7.701211818438425
189,weather_daily,T1206,mintemp,1206,41,0dc171b3021745b02b22759ab2ecb63dc31c1b5aa68f5fcd50654243fbadba96,7542,0,0,0,0,3.5749999999999993,2.6262395404007286,1.5757701824895778
190,weather_daily,T1207,mintemp,1207,82,1bd8e75f7cc9b7fa2bfb6e463717912f9bd7c8c6bcc6dfaeca13975eb934d8f2,9368,0,0,1,2,10.099999999999998,6.539064027801439,9.836258369667224
191,weather_daily,T1215,mintemp,1215,63,169633093ea80723db62c8e33caf4eb574569c2d949fbd0c0edd22899b93de5c,48028,0,0,9,13,10.7,6.710995173139808,7.877956414206773
192,weather_daily,T1218,mintemp,1218,12,03f55ebb6e644274c241e25a21c236fda7d91b4eb1010118464dbbed5c7b5820,6446,0,0,0,0,4.399999999999999,2.7672569839021133,1.498314728895971
193,weather_daily,T1225,mintemp,1225,112,29021811b41541e2dc55fa269d4a895edd177f71dfb2e65fffd9404197fe2a4c,46257,0,0,12,31,9.5,6.152635354854279,7.936077635822133
194,weather_daily,T1227,mintemp,1227,111,28f254a4b7c4c156b1f3c1d0a817d615fe325edce39f615b4b69f8861e38b127,12290,0,0,21,41,7.5,4.89623882214668,11.957182266758522
195,weather_daily,T1236,mintemp,1236,39,0cb91b9c7f8fc406110b597de7f646ad6f8402b92384c46fd5da2fc6163af864,14482,0,0,49,274,10.1,6.997804352572143,15.477178403835268
196,weather_daily,T1244,mintemp,1244,110,2835e86e30ab2bf5645b856839727fa2aeabeac92b087d8be9b95f0e87eea69f,22882,0,0,0,0,5.5,4.102938684795094,4.3080065660780775
197,weather_daily,T1246,mintemp,1246,68,186c022b4c9e7fbc8b938102a33e8d1cc312d577725f1474f3eac19873876bf8,7177,0,0,44,377,11.500000000000002,7.563084733399898,16.04517237026174
198,weather_daily,T1247,mintemp,1247,123,2bc23a462da604b4eb856694098fbac5c2a141df4304cc5232e1dfde242c0a5e,2428,0,0,0,0,7.600000000000001,5.154141475889087,5.557720010189058
199,weather_daily,T1249,mintemp,1249,116,29b298d4e1c832815cba8bac35c2614b9465b512f7ea062ed9f4eea3d4982cec,6446,0,0,0,0,0.0,1.2503979944811847,0.5918923127437685
200,weather_daily,T1251,mintemp,1251,50,11c1c4a2de88b6cd503a352fe53c63da52fd041faf5087aef46b65e3ea2dab3c,19960,0,0,0,0,4.5,3.5501197314779107,3.447453292585799
201,weather_daily,T1253,mintemp,1253,31,09a578c6afa7d7ae005ff40e4c9aa6bfe60f287aba976a9149aa613850895425,22882,0,0,0,0,4.899999999999999,3.4019281650732873,2.2994597296906263
202,weather_daily,T1255,mintemp,1255,96,21030b439984bdbaa9bb281e8cc924a0a3ab555a3f7b58949f582bd80f1aeb61,9733,0,0,14,53,7.800000000000001,5.316573140335112,13.42411819269726
203,weather_daily,T1259,mintemp,1259,19,05ed32fe433d18b2622e7912e9c84767dd97aba5f0881a0e525807335ae392d8,7177,0,0,1,0,5.1,3.401908335735448,2.8686998684183687
204,weather_daily,T1264,mintemp,1264,84,1c6873dc6e7cb3d86f5b1ba87f3214f0c41826aa526299ce27f50b25e758098f,10829,0,0,10,98,9.0,6.633295930802868,14.601718306376958
205,weather_daily,T1265,mintemp,1265,36,0b666246126b9e00857b601839d5b4632da324ed591decacd2d8f50cdc60d973,6446,0,0,0,0,0.0,0.9043827291187816,0.4189398825478694
206,weather_daily,T1268,mintemp,1268,117,2a670b39828706a30b30607681b106c4c48bdd75381b637848e02b0a13ffb8e0,6811,0,0,0,0,6.199999999999999,4.214098287978594,3.7535223134054823
207,weather_daily,T1269,mintemp,1269,62,167c5ffc106a8ed76b06dba444d3998eb33018a8ca7a4bbc25ab2c88c3cc1a66,19230,0,0,0,0,3.1999999999999993,2.123546605580282,1.0505240918829102
208,weather_daily,T1282,mintemp,1282,102,2337fbdfee395d22dd146f3e31fd18aa931418d508c6f7f57f83c6587265a64d,6081,0,0,0,0,2.5,1.971838867252094,1.9353585405477212
209,weather_daily,T1283,mintemp,1283,109,273faada7466949aa3594b9d0880d530cbc7fa6f19e550a48dc59be3768a79a4,15265,0,0,1,0,5.199999999999999,3.9885365253062175,4.382288268944142
210,weather_daily,T1296,mintemp,1296,20,0606182e62af7d8986f4944b51018b4ffd7e7ddc41acab4231e66d806f396f57,16673,0,0,0,0,5.200000000000003,3.4637994989459586,2.1024658938315675
211,weather_daily,T1297,mintemp,1297,7,03385a6c196ad5b7dbd372b70490a83603e35cb65bb2babb356d5c7f041c8687,10464,0,0,0,0,5.6,3.706310674109822,7.589333220763003
212,weather_daily,T1298,mintemp,1298,34,0a879b7999d081bc4bb70ac930f6a109b806594972d895bc0235b67b99fb4f1e,14482,0,0,0,0,7.799999999999999,5.2258016613022455,7.47423633123297
213,weather_daily,T1308,mintemp,1308,6,0330f551f2aa1a76f9f16c0129b6148fb19530add0ce80c071a580fb607d4359,19230,0,0,2,1,0.9709028998242992,4.49262944187884,3.517903679324753
214,weather_daily,T1315,mintemp,1315,118,2a7ce3d865a6061dacb2b2a777423ef32803584dae06a8a8975c7b6810771f54,17348,0,0,0,0,7.699999999999999,5.19919091460334,5.213107812889426
215,weather_daily,T1321,mintemp,1321,47,11120ae10845c1eda954f1ab2b7c932361c8b92cce94dd6b8370604a5c64735f,8638,0,0,25,320,7.0,4.850370114916123,12.807227574108673
216,weather_daily,T1324,mintemp,1324,4,02d8b1d32888bbec982f70b8032ac2013bf536a5b44d8144052ba8e2a9f9ee45,18134,0,0,133,350,7.9,5.317946879945139,12.97741061745366
217,weather_daily,T1325,mintemp,1325,38,0c89afa0d728280b9eb1e524ba13046bf59f8c8b7653e11fc5dcbd7dda5388c7,9368,0,0,5,25,10.5,6.734132347060459,10.603909987629612
218,weather_daily,T1326,mintemp,1326,92,1e624e85acf741b8bc23eca50f2fb40c7f67d95613d6862c210e7671c3376707,8272,0,0,23,66,7.025000000000001,4.844438942042688,10.562279855765704
219,weather_daily,T1334,mintemp,1334,55,13e028c0574a816af0924c3a68a7afdfc9f310102259d65fa58267bc7e93d0e9,12655,0,0,3,0,7.0,4.9220611927536835,4.758324757708157
220,weather_daily,T1342,mintemp,1342,86,1d8ce609eb4b1becd91f70bad104d8c47ff0c986a5bc24fce5dd55e164551d35,19595,0,0,45,223,8.6,5.828577299480112,12.606173912645394
221,weather_daily,T1344,mintemp,1344,49,11857cf4d246733ee997c8332a08d726ad6804115fc2ccfa26a6719d0faef98e,26170,0,0,83,593,7.9,5.334585084308231,11.630507938892604
222,weather_daily,T1359,mintemp,1359,104,23edcf597f525ed51cdc9d6e6a47505a296bc8ff7b3b8a12ac01a819ffbf217c,12290,0,0,0,0,6.899999999999999,4.6905562490714985,5.199886540849032
223,weather_daily,T1360,mintemp,1360,53,12b37ddba0416f111d6fc99e0ca479172d37a49831b19dbcf43a784c49c7f6ed,19595,0,0,172,263,7.199999999999999,5.091296272512402,12.310535692999135
224,weather_daily,T1361,mintemp,1361,51,11c3064100ed4544b83c8b0138d1c2666c80f13189effbca2ab6681558e5d5ed,3159,0,0,0,0,2.099999999999998,1.48244651225555,1.1954270015298991
225,weather_daily,T1369,mintemp,1369,67,1742d7468e47afc7b5820be19ea8892bf51f878e71f37814b80f577275e559ba,12838,0,0,0,0,3.5,3.1818677192083524,10.261285377450626
226,weather_daily,T1370,mintemp,1370,72,19854116e70b6ea86ac1cb7778506ae2dea4f4a318ab842b023d03aa4923a6d2,22882,0,0,3,4,5.000000000000001,3.582520700018754,7.076319637841198
227,weather_daily,T1377,mintemp,1377,45,0fcebc137907fd94248b84c62400a55c3c400a9d4f513807e83a484a9fd154ad,6446,0,0,14,285,7.3,5.016907547624032,13.660896785574522
228,weather_daily,T1383,mintemp,1383,75,19c02299a0c85617a985192282d2322fc472fdec384f87829397a1c4cd4bbe8c,19595,0,0,9,8,7.699999999999999,5.24062942672473,8.67694941924041
229,weather_daily,T1419,mintemp,1419,61,161060361f14792388c4866e1ff8fead454b53808116eb1d9ec03de2c8af9b72,2794,0,0,0,0,1.7000000000000028,1.9742497558195464,2.238358221376173
230,weather_daily,T1421,mintemp,1421,30,098aeb167ee215e8452672ae921844af72c3f3990c7f9bdd84b9dbbb2670ed54,7907,0,0,0,0,4.200000000000003,3.486963230296327,3.529737114081705
231,weather_daily,T1424,mintemp,1424,3,022b5a6e37df566dbe7c866a62a61ccb65575a7d13f03e92a43bffcfe28c291b,2794,0,0,0,0,2.3999999999999986,2.2086839266635794,1.8486814250250816
232,weather_daily,T1433,mintemp,1433,24,0761af7580c97965fa073c8982ca3411846379dee1faab66b24754a44f713cc9,18499,0,0,2,2,6.0,4.309064911395237,10.406269634644794
233,weather_daily,T1434,mintemp,1434,48,1157603e881b245b6ba00fa3bb25c1af080f2c2d545602449cd7b4969eefb03e,7907,0,0,0,0,6.800000000000001,4.843551829280146,4.338661375077581
234,weather_daily,T1440,mintemp,1440,52,127a9a63baab6267fa2aa1064d026bbb8e8378c00b8dc26d4358084a7abc78a6,21056,0,0,0,1,7.699999999999999,5.106977575476035,8.084834003287954
235,weather_daily,T1445,mintemp,1445,66,172f47accd7d9c79f6a4502d2e2b805df8b8de6f2b1e687bfae3e743ab10a4f1,3159,0,0,0,0,7.100000000000001,4.905353004865828,9.518513090483363
236,weather_daily,T1447,mintemp,1447,43,0f0dc3a672fdd195a97b43026b6c50c7b7b45372cf32098b166275e1c6614879,25074,0,0,0,0,9.3,5.9707763510949725,8.069811672982055
237,weather_daily,T1449,mintemp,1449,59,14cb57a2d69a3698b7d99faf5c20d51bf6af183ca36e70332a5cfefa5e661707,12655,0,0,0,0,6.100000000000001,4.449864568649486,5.836534547018044
238,weather_daily,T1450,mintemp,1450,18,05ba522c80246f39d2156328ae4bf59110f55d44192055e507301653ebd2ed05,9733,0,0,0,0,7.699999999999999,4.98003186613353,6.8440940089211155
239,weather_daily,T1455,mintemp,1455,40,0d3259e9002d0501b29160fe33203c3432d8f43b2b5dad8464df8e7568fe7afc,7177,0,0,0,0,4.199999999999999,2.902897616331456,3.6611002786143856
240,weather_daily,T1456,mintemp,1456,2,017b5bd40e4965c30338a1da467bed689a230c4e7a2ef1baf9371b939eaa5f46,21054,0,0,0,0,4.5,4.972545934261887,6.313490259867644
241,weather_daily,T1461,mintemp,1461,91,1e22a14e5875b4694a630230fb0921815d7ca3338a7657ac265ae5efd45484bf,9733,0,0,0,0,8.600000000000001,5.246343951457663,4.361378890500988
242,weather_daily,T1462,mintemp,1462,78,1ab8274201a5e76771d23ff5010af586fd3c0c89d4de9b6442a9781ce1d149cc,17402,0,0,0,0,8.2,5.362498137169331,5.93163793360286
243,weather_daily,T1463,mintemp,1463,87,1dc6b26bfb33bf2551bb1eb3b2b792b471670415a0d88ba8847bb18fd04a33ce,3889,0,0,0,0,5.600000000000001,3.4143147375388323,1.469898387453921
244,weather_daily,T1467,mintemp,1467,9,039a47d000f716e0632c4848ce0506494817572f2f296448a560c0fdd82079d5,27996,0,0,0,0,4.199999999999999,4.075939744986763,2.677958927679686
245,weather_daily,T1475,mintemp,1475,29,08d42f72a993cfc6c06f4131e7c62e28d33283726456c74ae46f55eacdb76997,24709,0,0,0,0,1.6999999999999993,1.2083291626960455,1.1823490514940087
246,weather_daily,T1478,maxtemp,1478,52,11f364a1f899363a801ce8cde5717fdcbdbdaefa7052902f5aaf6d74f8fe3a6b,4254,0,0,0,0,10.8,6.873046657918693,10.8162060654288
247,weather_daily,T1479,maxtemp,1479,37,0af6f575147cc1eeea9fdb1958fbda3ecc2d2110e991d5a9c67c6bfba1cf4b75,8637,0,0,0,0,10.999999999999998,6.90551221965239,11.08625827409407
248,weather_daily,T1483,maxtemp,1483,122,279b67557c37ea65fcc7c3a7881c822914e23cc51ccf9ba1e593259e3de653fd,10828,0,0,0,0,10.0,6.73646515524298,15.431813811101009
249,weather_daily,T1486,maxtemp,1486,113,23ce01bf89f7cdb60b5888d55e04e5fd58dee7d0e9e2d0f066666504b2f04481,14914,0,0,0,0,8.9,6.2260408679004255,15.925891758700692
250,weather_daily,T1488,maxtemp,1488,51,1190681c74cb31496ffe5cb1f9be4a5fd0dc1f26d53c649c7770fa055905f3ee,8637,0,0,58,169,10.8,6.966546993352024,10.46711292743016
251,weather_daily,T1493,maxtemp,1493,101,1fcebd5cef34ab1bfae32e0d209e0b2056f791308861d4db2bc3984c1d06c82f,10828,0,0,0,0,10.5,6.792824666914477,14.572664999084818
252,weather_daily,T1498,maxtemp,1498,98,1f2af632c504090db0c106235685c9066f20cfd3974cfe28a513b221c57827bf,9002,0,0,0,0,12.2,7.539517285796484,10.949305730919278
253,weather_daily,T1501,maxtemp,1501,70,1826fd177f4f7b51b0132149efe60184478b60b192bf104937132681141c0c9f,6810,0,0,0,0,9.1,6.30566942071679,17.606368948192678
254,weather_daily,T1504,maxtemp,1504,7,01ec4073991c3856c44ce6d72905bf1aa71c5968b0deac14d846a9a3f83635d1,2062,0,0,0,0,9.6,6.596441986170867,15.784722236768982
255,weather_daily,T1509,maxtemp,1509,61,156702d55b36c33fb87876d1ead03c951d86d905f2e2e12e166636cf3e7a7354,18498,0,0,15,29,9.1,6.237506548985096,10.417920627262864
256,weather_daily,T1520,maxtemp,1520,120,267c28b3ce3e5df90f2f6ffa26f8475975ff248997452597996086ec11b4ef5e,19958,0,0,1,1,3.299999999999999,5.282349563514683,12.115802639286205
257,weather_daily,T1525,maxtemp,1525,72,18ad89458fdbf78a89ca27f53ca4a10feeb7b0518be556a6949d4c6be66f36ef,17768,0,0,1,0,7.300000000000001,5.436623398245364,15.43822096530512
258,weather_daily,T1530,maxtemp,1530,78,1a5c374d853df85605a5dd17c0a90ec52492ed8c9bb76577173fde6dbfbdbb00,40779,0,0,1,0,10.6,6.8484677720977025,11.216185932799617
259,weather_daily,T1531,maxtemp,1531,14,04b8eeb1b3997bc8a768d4145e9b1618f24e0c7e282152d4851144e3430306e4,10828,0,0,0,0,9.6,6.423913091878392,15.549718905690682
260,weather_daily,T1538,maxtemp,1538,59,14b1fa15396e971afe236451c774afd30bfd5a59ee3e680ed17f674314494e83,15930,0,0,0,0,10.6,6.833500666541785,10.85576042639228
261,weather_daily,T1541,maxtemp,1541,63,15cdf73db830a99a6e3628c0bf52e039f9eb387c5ddd5c507feb10a4ad1eca62,9002,0,0,0,0,8.299999999999997,5.905996427831423,17.844195283640012
262,weather_daily,T1543,maxtemp,1543,80,1b79c5d23a620f83c9b420f6a94ffd1ecce20e0fe9ba91763474626de15c397a,19504,0,0,0,0,7.900000000000002,5.532217439878327,15.743289237262069
263,weather_daily,T1548,maxtemp,1548,58,13df31c9bd761ee8cb89d52c50c2abff9066321709478b687fe774f582199b66,29456,0,0,0,0,6.799999999999997,4.894253266519557,14.839092940639064
264,weather_daily,T1549,maxtemp,1549,123,27c187b276659d83440f523e7e1bb2c8d63063dd5e660f835081d57ec5376f2b,18271,0,0,0,0,12.5,7.674347597023893,12.96566351001328
265,weather_daily,T1550,maxtemp,1550,29,089f657a8f01ec2c7e90384e47708711d0cae1b98a1fdaee24fdfc2f7ba69b4d,19229,0,0,0,0,7.5,5.3676346478401165,16.414585766672065
266,weather_daily,T1565,maxtemp,1565,9,02abab4f6fa60b4c0594cd4ed0c7efbad91588867971e48f7a85184da819d8c0,10828,0,0,109,1611,10.5,6.697467679319551,10.288414886240831
267,weather_daily,T1572,maxtemp,1572,23,06bacfba9c9a92c4652f6de696113a6d435e0fd2567bd0c41be33440b935b866,11924,0,0,0,0,12.500000000000002,7.6394177926877,10.695716815107254
268,weather_daily,T1594,maxtemp,1594,27,087e11b8761f003ffab7a1ccb236a3071f270eb85d88ee7d99da400de8d859c9,9732,0,0,0,0,11.5,7.209718382484684,11.257610092614708
269,weather_daily,T1595,maxtemp,1595,103,20d1d963f08a1ed1fab112064ce781007475ab559f604cb7a33a0e8b94ed4a20,6228,0,0,0,0,8.5,5.950514995256328,16.839105293258132
270,weather_daily,T1601,maxtemp,1601,49,0f81f21b0c6eb9db806cc151e657b611761110041c62a3df43f75af89272f7d5,27264,0,0,0,0,7.4,5.603694787136343,17.01918383081565
271,weather_daily,T1605,maxtemp,1605,28,089189dc582c5789b973ce89b7b948212d99062071853379bff244bbc6fb5f20,8637,0,0,0,0,11.7,7.499335751154519,14.384600897788438
272,weather_daily,T1610,maxtemp,1610,53,121ac624483905ff59566e2e3ec893a0463754c9771341d357b94c82133b7fbc,18864,0,0,0,0,11.7,7.300394139394983,10.964261174608293
273,weather_daily,T1613,maxtemp,1613,8,0298a964bf8079ce131f40f8712847ea89ffe216c3bd16a55ddcf5815b678dae,18496,0,0,0,0,7.824999999999999,5.710453232168186,15.853801186186992
274,weather_daily,T1624,maxtemp,1624,76,19efc2621bf4d83fe99c3bb4164d7b4d925339f4518213511352b814ed56ff02,6080,0,0,0,0,10.1,6.594154513337743,10.210623721187858
275,weather_daily,T1629,maxtemp,1629,54,12a2373425aa05487dd0bf807d25dfc4dcf3fdc31d7768068bcd91ac8b0d724d,19959,0,0,0,0,10.0,6.518007352803255,11.036011141211684
276,weather_daily,T1630,maxtemp,1630,47,0ee8ce8851b7cf03f6a8746e811ba63c7dc454a6e39da27d62ca1c2eecf3729c,9732,0,0,0,0,9.9,6.947115253243049,17.265264383898682
277,weather_daily,T1634,maxtemp,1634,100,1fc7da4f944e04e446b43dc5804e59428d532fbd364b37db8a94623801344ccc,7541,0,0,0,0,9.0,6.528166445119634,19.102393404897107
278,weather_daily,T1649,maxtemp,1649,13,0477b6103df0b789b9cc63418ca083897b6a3beea9ab82c7bc609a0da7c989df,9722,0,0,0,0,7.9,5.737385661396532,14.933518533566913
279,weather_daily,T1652,maxtemp,1652,42,0c83c9a46fb475eadc7deed8ce02867be9255d3a7df7c87928c2dcac747fafdc,19594,0,0,0,0,10.8,7.12292040620303,14.995716565692073
280,weather_daily,T1657,maxtemp,1657,67,174f409c7c03df650ea5cef46eb10e3d5479cb8b201eee012d568a5c35746697,6810,0,0,0,0,10.7,6.752638096593685,8.829654626780586
281,weather_daily,T1659,maxtemp,1659,92,1da82b33f62ccc08c586e8996c125a59ab7ca819740f49b875952827c630b3ea,10098,0,0,0,0,10.7,6.639384080941498,8.865060820221109
282,weather_daily,T1674,maxtemp,1674,95,1e6c77e01cade7b6a96ccce2e6078a780ba4f20a99ef99d0c0e854e4e4d01c2f,5715,0,0,0,0,12.3,7.730584252984699,14.5134401937744
283,weather_daily,T1685,maxtemp,1685,12,0422083b27bdb626b4b09bbd10795bfd3bb6061d5fc6937c3c96e845dbecc5f1,7176,0,0,0,0,9.1,6.637610631946729,20.146801846611886
284,weather_daily,T1692,maxtemp,1692,6,01e467b5a96d34f31fbcc167aa66c4a6e4979bc0d79387ab2cbfbcdd1f7bd50a,4984,0,0,0,0,10.724999999999998,7.311298199748382,19.36575054009031
285,weather_daily,T1697,maxtemp,1697,55,12c20b8de97c530fe78fd7755afd9e87b11b835af5ed9693b4d645b99768f86b,19959,0,0,0,0,10.599999999999998,6.9342889013452345,13.970998168646837
286,weather_daily,T1698,maxtemp,1698,3,016e63e9e6660e42956aa931b2de82f76182de43abc9602fde2c41f4e2f7bd00,40048,0,0,0,0,5.199999999999999,3.5829600374425525,5.681002545411722
287,weather_daily,T1703,maxtemp,1703,109,228826d7e54005f0e248a3c75651f6e107e9320b35b76e8b069398453b16d084,8271,0,0,0,0,6.900000000000002,4.856873721276215,10.49865317091074
288,weather_daily,T1714,maxtemp,1714,56,12ee47134d838054000f3d03dbe267c80d864c11036c2a8284ae6a227d7cd5d3,18131,0,0,0,0,7.699999999999999,5.255361681293355,6.326375378064623
